NLW FACS 787 Aberystwyth Harbour Records,,,"KEY          
Illegible Word =
Illegible letter =
Guess =
blk,1894-06-05,29,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-06-09,30,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-06-16,31,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-06-17,32,Winefred,Portmadoc,See note,blk,Roberts,R. Roberts & Sons,Timber,164,6,4,2,0,,,,55361 listed for Caernarfon,,,
blk,1894-06-24,33,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-06-30,34,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-07-07,35,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-07-14,36,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-07-22,37,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-07-28,38,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-07-29,39,Amber,Glasgow,99840,blk,McCormick,M & M [Charlso$] Burt Boulton & [Hazwood],Sleepers,123,4,2,1,0,,,,,,,
blk,1894-08-05,40,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-08-11,41,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-08-19,42,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-08-26,43,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-08-31,44,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-09-09,45,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-09-15,46,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-09-22,47,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-09-29,48,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-10-06,49,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-10-11,50,Ant,Liverpool,See note,blk,blk,William Morris,Coal,96,4,1,12,0,1,12,0,"65934, 74506 and 97743 listed for 1890",,,
blk,1894-10-14,51,Emily,Glasgow,See note,blk,Guy,Griffith Williams,Timber,69,4,1,3,0,1,3,0,22937 listed for 1855,,,
blk,1894-10-17,52,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-10-18,53,Hannah Beckett,Liverpool,84139,blk,Wakefield,Eagle Foundry Co.,Sand,32,4,0,10,8,0,10,8,,,,
blk,1894-10-20,54,Ann Thomas,Cardigan,See note,blk,Thomas,Captn. T. Doughton,Coal,35,2,0,5,10,0,5,10,No Ann Thomas listed for 1890,,,
blk,1894-10-20,55,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-10-28,56,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-11-04,57,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-11-10,58,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-11-10,59,John & Ann,Aberystwyth,8640,blk,Hughes,Captn. T. Doughton,Coal,51,2,0,8,6,0,8,6,,,,
blk,1894-11-18,60,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-11-22,61,Progress,Aberystwyth,44738,blk,Jones,William Morris,Coal,68,2,0,11,4,0,11,4,,,,
blk,1894-11-24,62,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-11-25,63,Dreadnought,Aberystwyth,27606 See note,blk,Thomas,Captn. J. Thomas,Coal,90,2,0,15,0,,,,53049 also listed,,,
blk,1894-11-30,64,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-12-06,65,Wild Rose,Glasgow,See note,blk,Arthur,Captn. T. Doughton,Coal,61,4,1,0,4,1,0,4,No 'Wild Rose' found listed for 1890,,,
blk,1894-12-06,66,Rover,Cardiff,See note,blk,Owens,R. Roberts & Sons,Timber,82,4,1,7,4,1,7,4,No 'Rover' found listed for 1890,,,
blk,1894-12-09,67,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-12-17,68,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1894-12-20,69,Maggie,Glasgow,See note,blk,Glen,Williams & White,Dynamite,78,4,1,6,0,1,6,0,63301 and 86661 listed for 1890,,,
blk,1894-12-24,70,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-05,1,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-11,2,Miss Thomas,Portmadoc,49946,blk,[Thomas],Bourne &Grant,Cement & [Electric Wire],99,2, ,16,6,,,,,,,
blk,1895-01-13,3,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-20,4,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-29,5,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-03,6,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-09,7,Emily,Glasgow,See note,blk,Guy,Griffith Williams,Timber,69,4,1,3,0,,,,229376 listed for 1855,,,
blk,1895-02-10,8,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-16,9,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-23,10,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-23,11,Hannah Beckett,Liverpool,84139,blk,Ainscough,Williams & White,Manure,32,4, ,10,8,,10,8,,,,
blk,1895-02-24,12,Herbert,Portmadoc,19027,blk,Roberts,M. H. Davies and Sons,Manure,76,2, ,12,8,,12,8,,,,
blk,1895-03-02,13,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-10,14,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-11,15,Vandora,Liverpool,See note,blk,Davies,Captn. Thos Doughton,Coal,73,4,1,4,4,,,,No 'Vandora' found listed for 1890,,,
blk,1895-03-14,16,Countess,Aberystwyth,See note,blk,Jenkins,Richard Morgan,Grain & Potatoes,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-17,17,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-23,18,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-31,19,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
,,,,,,,,,,,,,,,,,,,,,
blk,1895-01-05,1,Countess,Aberystwyth,See note,blk ,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-11,2,Miss Thomas,Aberystwyth,49946,blk,[Thomas],Bourne & Grant,Cement & Electric Wire,99,2,,16,6,,,,,,,
blk,1895-01-13,3,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-20,4,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-01-29,5,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-03,6,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-09,7,Emily,Glasgow,See note,blk,Guy,Griffith Williams,Timber,69,4,1,3,0,3,,,,,,
blk,1895-02-10,8,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-16,9,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-23,10,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-02-23,11,Hannah Beckett,Liverpool,84139,blk,Ainscough,Williams & White,Manure,32,4,,10,8,,10,8,,,,
blk,1895-02-24,12,Herbert,Portmadoc,19027,blk,Roberts,M. H. Davies & Sons,Manure,76,4,,12,8,,12,8,,,,
blk,1895-03-02,13,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-10,14,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-11,15,Vandora,Liverpool,See note,blk,Davies,Capt.Thos. Doughton,Coal,73,4,1,4,4,,,,,,,
blk,1895-03-14,16,Countess,Aberystwyth,See note,blk,Jenkins,Richard Morgan,Grain & Potatoes,63,4,1,1,0,,,,,,,
blk,1895-03-17,17,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-23,18,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-03-31,19,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-04-07,20,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-04-12,21,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-04-20,22,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-04-26,23,Macleod,Glasgow,blk,blk,McFell,William Williams,Coal,59,4,,19,8,,19,8,,,,
blk,1895-04-28,24,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-05-04,25,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-05-07,26,Ocean Belle,Carnarvon,blk,blk,Pritchard,Capt.Thos. Doughton,Coal,61,2,,10,2,,10,2,,,,
blk,1895-05-08,27,Sarah Davies,Aberystwyth,28294,blk,Davies,Capt. Davies,Coal,84,2,,14,0,,14,0,,,,
blk,1895-05-08,28,Kate,Aberystwyth,1341,blk,Rees,H $ Ellis,Coal,73,2,,12,2,,12,2,,,,
blk,1895-05-11,29,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-05-19,30,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-05-22,31,Emily,Glasgow,See note,blk,Guy,Griffith Williams,Timber,69,4,1,3,0,1,3,0,No 'Emily' found reigstered for Glasgow for 1890,,,
blk,1895-05-26,32,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-05-28,33,Volunteer,Aberystwyth,29308,blk,Jones,Thos. Powell,Coal & Grain,56,2,,9,4,,,,,,,
blk,1895-06-02,34,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-06-08,38,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-06-16,39,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-06-22,40,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-06-29,41,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
,,,,,,,,,,,,,,,,,,No records for July to September 1895,,,
blk,1895-10-09,57,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-10-15,58,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-10-19,59,Aurora,$$$bourg,blk,blk,blk,R. Roberts & Sons,Timber,298,6,,,,,,,,,,
blk,1895-10-19,60,Mabel,[Llanelli],blk,blk,Davies,blk,[Long boat],9,3,,2,3,,2,3,,,,
blk,1895-10-19,61,Ellen Beatr[ice],Aberystwyth,[49664],blk,Jones,Capt. $ Jones,Coal,75,2,,12,6,,12,6,,,,
blk,1895-10-19,62,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-10-19,63,$eren,Chester,blk,blk,Hughes,Capt. Doughton,Coal,38,2,,6,4,,6,4,,,,
blk,1895-10-27,64,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-11-07,65,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-11-16,66,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-11-19,67,Volunteer,Aberystwyth,29308,blk,Jones,Capt. Evan[s] Jones,Bricks,56,2,,9,4,,9,4,,,,
blk,1895-11-23,68,Maggie,Glasgow,blk,blk,Glen,Williams & White,Dynamite,78,4,1,6,0,1,6,0,,,,
blk,1895-11-24,69,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-11-27,70,Margaret,Aberystwyth,blk,blk,Brown,Owens Brothers,Bricks,12,2,,2,0,,2,0,,,,
blk,1895-11-28,71,Sarah Davies,Aberystwyth,28294,blk,Davies,Capt. Davies,Coal,84,2,,14,0,,,,,,,
blk,1895-11-30,72,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-12-19,73,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-12-19,74,Margaret,Aberystwyth,blk,blk,Brown,Owens Brothers,Bricks,12,2,,2,0,,2,0,,,,
blk,1895-12-20,75,Welsh Prince,Bridgewater,65304,blk,Lucas,T. Powell,Coal & Grain,54,4,,18,0,,18,0,,,,
blk,1895-12-22,76,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1895-12-22,77,Lorne,Aberystwyth,58214,blk,Davies,Capt. T. Doughton,Coal,74,2,,12,4,,12,4,,,,
blk,1895-12-28,78,Margaret,Aberystwyth,blk,blk,Brown,Owens Brothers,Bricks,12,2,,2,0,,2,0,,,,
blk,1895-12-30,79,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-01-04,1,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-01-09,2,Welsh Prince,Bridgewater,65304,S.S.,Crossman,Owens Brothers,Bricks,54,4,,18,0,,18,0,,,,
blk,1896-01-11,3,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-01-18,4,Margaret,Aberystwyth,blk,blk,Brown,Owens Brothers,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-01-19,5,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-01-23,6,Countess,Aberystwyth,See note,blk,Jenkins,Richard Morgan,Oats & Seed,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-01-28,7,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-02-02,8,Catherine Hendry,Aberystwyth,48625,blk,Jones,Capt. Evan Jones,Coal,47,2,,7,10,,7,10,,,,
blk,1896-02-03,9,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-02-09,10,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-02-11,11,Sarah Davies,[Aberdovey],blk,blk,Williams,Aberystwyth Improvement Co.,Cement,90,2,,15,0,,15,0,,,,
blk,1896-02-15,12,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-02-23,13,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-02-29,14,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-03-10,15,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-03-11,16,Rheidol Vale,Aberystwyth,21756,blk,Humphreys,Williams & White,Manure,76,2,,12,8,,,,,,,
blk,1896-03-12,17,Lexa,Glasgow,blk,blk,blk,Capt. T. Doughton,Coal,71,4,1,3,8,,,,,,,
blk,1896-03-14,18,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-03-21,19,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-03-30,20,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-04-04,21,Edith Eleanor,Aberystwyth,85261,blk,Price,Williams & White,Cement,95,2,,15,10,,15,10,,,,
blk,1896-04-05,22,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-04-14,23,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-04-16,24,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-04-16,25,Lizzie,Glasgow,blk,blk,Campbell,Williams & White,Dynamite,64,4,1,1,4,1,1,4,,,,
blk,1896-04-19,26,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-04-21,27,Sage,Carnarvon,9633,blk,Griffiths,Capt. Doughton,Coal,25,2,,4,2,,4,2,,,,
blk,1896-04-23,28,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-04-24,29,Rival,Liverpool,blk,Yacht,Burton,blk,Ballast,5,3,,1,3,,1,3,,,,
blk,1896-04-26,30,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-05-03,31,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-05-08,32,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-05-09,33,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-05-10,34,Margaret & Ann,Cardigan,blk,blk,Owens,Belham & Co.,Bricks,28,2,,4,8,,4,8,,,,
blk,1896-05-16,35,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-05-16,36,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-05-23,37,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-05-28,38,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
blk,1896-05-30,39,Countess,Aberystwyth,See note,blk,Jenkins,blk,General Cargo,63,4,1,1,0,,,,Countess of Lisburne 85268 listed on Aberystwith Shipping Records for 1890,,,
blk,1896-06-06,40,Margaret,Aberystwyth,blk,blk,Brown,Belham & Co.,Bricks,12,2,,2,0,,2,0,,,,
